country,year,risk_score,risk_prediction,crisis_composite
Algeria,1977.0,0.015103431,0,0
Algeria,1978.0,0.015103431,0,0
Algeria,1979.0,0.015103431,0,0
Algeria,1980.0,0.015103431,0,0
Algeria,1981.0,0.015103431,0,0
Algeria,1982.0,0.015103431,0,0
Algeria,1983.0,0.015103431,0,0
Algeria,1984.0,0.015103431,0,0
Algeria,1985.0,0.015103431,0,0
Algeria,1986.0,0.015103431,0,0
Algeria,1987.0,0.015103431,0,0
Algeria,1988.0,0.015103431,0,0
Algeria,1989.0,0.015103431,0,0
Algeria,1990.0,0.015103431,0,0
Algeria,1991.0,0.015103431,0,0
Algeria,1992.0,0.015103431,0,0
Algeria,1993.0,0.015103431,0,0
Algeria,1994.0,0.015103431,0,0
Algeria,1995.0,0.015103431,0,0
Algeria,1996.0,0.015103431,0,0
Algeria,1997.0,0.015103431,0,0
Algeria,1998.0,0.015103431,0,0
Algeria,1999.0,0.015103431,0,0
Algeria,2000.0,0.015103431,0,0
Algeria,2001.0,0.015103431,0,0
Algeria,2002.0,0.015103431,0,0
Algeria,2003.0,0.01420453,0,0
Algeria,2004.0,0.015245547,0,0
Algeria,2005.0,0.015806321,0,0
Algeria,2006.0,0.021684134,0,0
Algeria,2007.0,0.013915106,0,0
Algeria,2008.0,0.017640151,0,0
Algeria,2009.0,0.013960265,0,0
Algeria,2010.0,0.0163552,0,0
Algeria,2011.0,0.017434007,0,0
Algeria,2012.0,0.012828545,0,0
Algeria,2013.0,0.016458217,0,0
Angola,1990.0,0.02025027,0,0
Angola,1991.0,0.02025027,0,0
Angola,1992.0,0.02025027,0,0
Angola,1993.0,0.02025027,0,0
Angola,1994.0,0.02025027,0,0
Angola,1995.0,0.02025027,0,0
Angola,1996.0,0.02025027,0,0
Angola,1997.0,0.02025027,0,0
Angola,1998.0,0.02025027,0,0
Angola,1999.0,0.02025027,0,0
Angola,2000.0,0.02025027,0,0
Angola,2001.0,0.02025027,0,0
Angola,2002.0,0.02025027,0,0
Angola,2003.0,0.02025027,0,0
Angola,2004.0,0.02025027,0,0
Angola,2005.0,0.020161627,0,0
Angola,2006.0,0.018595554,0,0
Angola,2007.0,0.02207572,0,0
Angola,2008.0,0.02284498,0,0
Angola,2009.0,0.021334514,0,0
Angola,2010.0,0.024507582,0,0
Angola,2011.0,0.021334514,0,0
Angola,2012.0,0.022338592,0,0
Angola,2013.0,0.019446312,0,0
Botswana,1960.0,0.013131097,0,0
Botswana,1961.0,0.013131097,0,0
Botswana,1962.0,0.013131097,0,0
Botswana,1963.0,0.013131097,0,0
Botswana,1964.0,0.013131097,0,0
Botswana,1965.0,0.013131097,0,0
Botswana,1966.0,0.013131097,0,0
Botswana,1967.0,0.013131097,0,0
Botswana,1968.0,0.013131097,0,0
Botswana,1969.0,0.013131097,0,0
Botswana,1970.0,0.013131097,0,0
Botswana,1971.0,0.013131097,0,0
Botswana,1972.0,0.013131097,0,0
Botswana,1973.0,0.013131097,0,0
Botswana,1974.0,0.013131097,0,0
Botswana,1975.0,0.013131097,0,0
Botswana,1976.0,0.013131097,0,0
Botswana,1977.0,0.013131097,0,0
Botswana,1978.0,0.013131097,0,0
Botswana,1979.0,0.013131097,0,0
Botswana,1980.0,0.013131097,0,0
Botswana,1981.0,0.013131097,0,0
Botswana,1982.0,0.013131097,0,0
Botswana,1983.0,0.013131097,0,0
Botswana,1984.0,0.013131097,0,0
Botswana,1985.0,0.013131097,0,0
Botswana,1986.0,0.013131097,0,0
Botswana,1987.0,0.013131097,0,0
Botswana,1988.0,0.013131097,0,0
Botswana,1989.0,0.013131097,0,0
Botswana,1990.0,0.013131097,0,0
Botswana,1991.0,0.013131097,0,0
Botswana,1992.0,0.013131097,0,0
Botswana,1993.0,0.013131097,0,0
Botswana,1994.0,0.013131097,0,0
Botswana,1995.0,0.013131097,0,0
Botswana,1996.0,0.013131097,0,0
Botswana,1997.0,0.013131097,0,0
Botswana,1998.0,0.013131097,0,0
Botswana,1999.0,0.013131097,0,0
Botswana,2000.0,0.013131097,0,0
Botswana,2001.0,0.013131097,0,0
Botswana,2002.0,0.013131097,0,0
Botswana,2003.0,0.013131097,0,0
Botswana,2004.0,0.013131097,0,0
Botswana,2005.0,0.013131097,0,0
Botswana,2006.0,0.013131097,0,0
Botswana,2007.0,0.013131097,0,0
Botswana,2008.0,0.013131097,0,0
Botswana,2009.0,0.013131097,0,0
Botswana,2010.0,0.013131097,0,0
Botswana,2011.0,0.013131097,0,0
Botswana,2012.0,0.013131097,0,0
Botswana,2013.0,0.013131097,0,0
Egypt,1982.0,1.0572814,0,0
Egypt,1983.0,1.0572814,0,0
Egypt,1984.0,1.2004471,0,0
Egypt,1985.0,1.061713,0,0
Egypt,1986.0,0.9096639,0,0
Egypt,1987.0,0.8399182,0,0
Egypt,1988.0,0.96938676,0,0
Egypt,1989.0,0.85712427,0,0
Egypt,1990.0,1.1021079,0,0
Egypt,1991.0,0.80089587,0,0
Egypt,1992.0,0.9710994,0,0
Egypt,1993.0,0.8586403,0,0
Egypt,1994.0,1.2582467,0,0
Egypt,1995.0,1.6744335,0,0
Egypt,1996.0,1.6298311,0,0
Egypt,1997.0,1.7339408,0,0
Egypt,1998.0,1.6625842,0,0
Egypt,1999.0,1.7421739,0,0
Egypt,2000.0,1.433218,0,0
Egypt,2001.0,1.2818347,0,0
Egypt,2002.0,1.4357394,0,0
Egypt,2003.0,1.8900434,0,0
Egypt,2004.0,98.08952,1,1
Egypt,2005.0,99.16802,1,1
Egypt,2006.0,99.853745,1,1
Egypt,2007.0,99.755646,1,1
Egypt,2008.0,99.86929,1,1
Egypt,2009.0,99.692955,1,1
Egypt,2010.0,99.83704,1,1
Egypt,2011.0,99.86274,1,1
Egypt,2012.0,99.93241,1,1
Egypt,2013.0,99.92058,1,1
Ethiopia,2008.0,0.054607812,0,0
Ethiopia,2010.0,0.054607812,0,0
Ethiopia,2011.0,0.053758115,0,0
Ethiopia,2012.0,0.054935087,0,0
Ethiopia,2013.0,0.0660336,0,0
Ghana,1971.0,0.022073679,0,0
Ghana,1972.0,0.022073679,0,0
Ghana,1973.0,0.022073679,0,0
Ghana,1974.0,0.022073679,0,0
Ghana,1975.0,0.022073679,0,0
Ghana,1976.0,0.022073679,0,0
Ghana,1977.0,0.022073679,0,0
Ghana,1978.0,0.022073679,0,0
Ghana,1979.0,0.023473756,0,0
Ghana,1980.0,0.023473756,0,0
Ghana,1981.0,0.023473756,0,0
Ghana,1982.0,0.023473756,0,0
Ghana,1983.0,0.022073679,0,0
Ghana,1984.0,0.023473756,0,0
Ghana,1985.0,0.023473756,0,0
Ghana,1986.0,0.023473756,0,0
Ghana,1987.0,0.023473756,0,0
Ghana,1988.0,0.023473756,0,0
Ghana,1989.0,0.023473756,0,0
Ghana,1990.0,0.023473756,0,0
Ghana,1991.0,0.023473756,0,0
Ghana,1992.0,0.023473756,0,0
Ghana,1993.0,0.023473756,0,0
Ghana,1994.0,0.023473756,0,0
Ghana,1995.0,0.023473756,0,0
Ghana,1996.0,0.023473756,0,0
Ghana,1997.0,0.023473756,0,0
Ghana,1998.0,0.023473756,0,0
Ghana,1999.0,0.023473756,0,0
Ghana,2000.0,0.023473756,0,0
Ghana,2001.0,0.023473756,0,0
Ghana,2002.0,0.023473756,0,0
Ghana,2003.0,0.023473756,0,0
Ghana,2004.0,0.023473756,0,0
Ghana,2005.0,0.023473756,0,0
Ghana,2006.0,0.023473756,0,0
Ghana,2007.0,0.023473756,0,0
Ghana,2008.0,0.023473756,0,0
Ghana,2009.0,0.021842005,0,0
Ghana,2010.0,0.023350937,0,0
Ghana,2011.0,0.025090482,0,0
Ghana,2012.0,0.020000717,0,0
Ghana,2013.0,0.026529858,0,0
Ivory Coast,1960.0,0.12443389,0,0
Ivory Coast,1961.0,0.12443389,0,0
Ivory Coast,1962.0,0.13462546,0,0
Ivory Coast,1963.0,0.14036395,0,0
Ivory Coast,1964.0,0.131828,0,0
Ivory Coast,1965.0,0.13395911,0,0
Ivory Coast,1966.0,0.2013017,0,0
Ivory Coast,1967.0,0.23370798,0,0
Ivory Coast,1968.0,0.17362621,0,0
Ivory Coast,1969.0,0.76284873,0,0
Ivory Coast,1970.0,0.8278845,0,0
Ivory Coast,1971.0,1.6717311,0,0
Ivory Coast,1972.0,0.64138865,0,0
Ivory Coast,1973.0,0.39511472,0,0
Ivory Coast,1974.0,0.17750822,0,0
Ivory Coast,1975.0,1.8162993,0,0
Ivory Coast,1976.0,99.38619,1,1
Ivory Coast,1977.0,1.8270682,0,0
Ivory Coast,1978.0,99.89791,1,1
