country,country_code,year,budget_deficit_surplus,capital_expenditure,consumer_price_index_cpi,defence_expenditure,education_expenditure,expenditure,exports,food_inflation,gdp_growth_rate,gdp_per_capita,government_debt,health_expenditure,imports,inflation_rate,interest_rate,labour_force,nominal_gdp,population,real_gdp,revenue,tax_revenue,unemployment_rate,value_added_tax_vat,risk_score,debt_to_gdp,budget_balance,deficit_to_gdp,revenue_to_gdp,tax_revenue_to_gdp,tax_effort,expenditure_to_gdp
Algeria,DZA,1977.0,,,,,,,6.0,,,,,,-6.21,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1978.0,,,,,,,6.3,,,,,,-7.32,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1979.0,,,,,,,9.5,,,,,,-7.82,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1980.0,,,,,,,13.7,,,,,,-9.61,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1981.0,,,,,,,14.1,,,,,,-10.11,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1982.0,,,,,,,13.5,,,,,,-9.92,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1983.0,,,,,,,12.7,,,,,,-9.54,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1984.0,,,,,,,12.8,,,,,,-9.24,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1985.0,,,,,,,13.0,,,,,,-8.81,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1986.0,,,,,,,8.1,,,,,,-8.53,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1987.0,,,,,,,9.0,,,,,,-7.27,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1988.0,,,,,,,7.6,,,,,,-7.69,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1989.0,,,,,,,9.6,,,,,,-9.47,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1990.0,,,,,,,12.9,,,,,,-9.77,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1991.0,,,,,,,12.4,,,,,,-7.77,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1992.0,,,,,,,11.5,,,,,,-8.3,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1993.0,,,,,,,10.4,,,,,,-7.99,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1994.0,,,,,,,8.9,,,,,,-9.15,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1995.0,,,,,,,10.3,,,,,,-10.1,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1996.0,,,,,,,13.2,,,,,,-9.09,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1997.0,,,,,,,13.8,,,,,,-8.13,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1998.0,,,,,,,10.1,,,,,,-8.63,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,1999.0,,,,,,,12.3,,,,,,-8.96,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,2000.0,,,,,,,21.7,,,,,,-9.35,,,,,,,,,,,0.015103431,,,,,,,
Algeria,DZA,2001.0,,,,,,,19.1,,,,,,-9.48,,,,4587607.0,,,,,,,0.015103431,,,,,,,
Algeria,DZA,2002.0,,,101.74,,,,18.7,,5.4,,,,-12.01,,,,4901720.0,,,,,,,0.015103431,,,,,,,
Algeria,DZA,2003.0,,,101.48,,,,24.5,,6.5,,,,-13.32,,,,5687158.0,,,,,,,0.01420453,,,,,,,
Algeria,DZA,2004.0,,,108.96,,,,32.2,4.55,4.5,,,,-17.95,4.9,,,6623355.0,,,,,,,0.015245547,,,,,,,
Algeria,DZA,2005.0,,,111.8,,,,46.3,4.06,5.4,,,,-19.85,3.58,,,7843981.0,,,,,,,0.015806321,,,,,,,
Algeria,DZA,2006.0,,,112.5,,,,54.7,-1.45,2.9,,,,-20.68,1.22,,,8941655.0,,,,,,,0.021684134,,,,,,,
Algeria,DZA,2007.0,,,115.17,,,,60.6,4.65,3.1,,,,-26.35,2.46,,,9872971.0,,,,,,,0.013915106,,,,,,,
Algeria,DZA,2008.0,,,120.39,,,,78.6,6.74,2.5,,,,-37.99,3.86,,,11649694.0,,,,,,,0.017640151,,,,,,,
Algeria,DZA,2009.0,,,126.98,,,,45.2,7.43,1.2,,,,-37.4,4.94,,,10920163.0,,,,,,,0.013960265,,,,,,,
Algeria,DZA,2010.0,,,133.52,,,,57.1,8.25,4.8,,,,-38.89,5.71,,,13224716.0,,,,,,,0.0163552,,,,,,,
Algeria,DZA,2011.0,,,138.29,,,,72.9,3.85,3.0,,,,-46.93,3.78,,,15924670.0,,,,,,,0.017434007,,,,,,,
Algeria,DZA,2012.0,,,148.71,,,,71.7,4.71,2.4,,,,-51.57,4.86,,,17611810.0,,,,,,,0.012828545,,,,,,,
Algeria,DZA,2013.0,,,160.33,,,,64.9,12.35,2.6,,,,-54.99,8.91,,,18231035.0,,,,,,,0.016458217,,,,,,,
